productcode,productname,relatedcategoryid,categoryname,subcategoryname,subsubcategoryname,productdescription,fob,furtherdescription,defaultimagename,Size,Colors,Imprint,Imprint Method 1,Imprint Method 2,Weight,Lead Time,Rush Lead Time,Imprint Area,Packaging,Run Charge,Setup Charge,Set-up Charge,Additional Colors/Positions,Additional Colors,Additional Positions,Carton Weight (Lbs),Carton Width,Carton Height,Carton Length,Units Per Carton,pricename_1,quantity1_1,price1_1,discountcode1_1,quantity2_1,price2_1,discountcode2_1,quantity3_1,price3_1,discountcode3_1,quantity4_1,price4_1,discountcode4_1,quantity5_1,price5_1,discountcode5_1,quantity6_1,price6_1,discountcode6_1
B2-1,Split Key Ring with Bulldog Extender,117,Lanyards,Lanyards,Lanyard Attachments,Please reference lanyard for compatability.,,,B2-1.jpg,,,,,,,,,,,,,,,,,,,,,,B2-1,1,0.2,C,,,,,,,,,,,,,,,
B2-2,Split Key Ring with Accessory Loop,117,Lanyards,Lanyards,Lanyard Attachments,Please reference lanyard for compatability.,,,B2-2.jpg,,Black,,,,,,,,,,,,,,,,,,,,B2-2,1,0.2,C,,,,,,,,,,,,,,,
B2-3,J-Hook with Split Key Ring,117,Lanyards,Lanyards,Lanyard Attachments,Please reference lanyard for compatability.,,,B2-3.jpg,,,,,,,,,,,,,,,,,,,,,,B2-3,1,0.2,C,,,,,,,,,,,,,,,
B2-4,Non-Swivel J-Hook,117,Lanyards,Lanyards,Lanyard Attachments,Please reference lanyard for compatability.,,,B2-4.jpg,,,,,,,,,,,,,,,,,,,,,,B2-4,1,0.2,C,,,,,,,,,,,,,,,
C-4,Plastic D-Ring with Bulldog Clip,117,Lanyards,Lanyards,Lanyard Attachments,Please reference lanyard for compatability.,,,C-4.jpg,,Black,,,,,,,,,,,,,,,,,,,,C-4,1,0.45,C,,,,,,,,,,,,,,,
E-1,Snap Buckle with Split Key Ring,117,Lanyards,Lanyards,Lanyard Attachments,Please reference lanyard for compatability.,,,E-1.jpg,,Black,,,,,,,,,,,,,,,,,,,,E-1,1,0.97,C,,,,,,,,,,,,,,,
F-3,Plastic D-Ring with Retractable Badgeholder,117,Lanyards,Lanyards,Lanyard Attachments,Please reference lanyard for compatability.,,,F-3.jpg,,Black,,,,,,,,,,,,,,,,,,,,F-3,1,0.97,C,,,,,,,,,,,,,,,
F-4,White Retractable Badgeholder,117,Lanyards,Lanyards,Lanyard Attachments,Please reference lanyard for compatability.,,,F-4.jpg,,White,,,,,,,,,,,,,,,,,,,,F-4,1,0.97,C,,,,,,,,,,,,,,,
G-2,Snap Buckle with Black Extender and Split Ring,117,Lanyards,Lanyards,Lanyard Attachments,Please reference lanyard for compatability.,,,G-2.jpg,,Black,,,,,,,,,,,,,,,,,,,,G-2,1,0.4,C,,,,,,,,,,,,,,,
G-1,Snap Buckle with Split Key Ring,117,Lanyards,Lanyards,Lanyard Attachments,Available on woven lanyards only.,,,G-1.jpg,,,,,,,,,,,,,,,,,,,,,,G-1,1,0.97,C,,,,,,,,,,,,,,,
H-3,Double J-Hook,117,Lanyards,Lanyards,Lanyard Attachments,Please reference lanyard for compatability. Available in 3-5 day production.,,,H-3.jpg,,,,,,,,,,,,,,,,,,,,,,H-3,1,0.71,C,,,,,,,,,,,,,,,
H-4,Double Bulldog Clip,117,Lanyards,Lanyards,Lanyard Attachments,Please reference lanyard for compatability. Available in 3-5 day production.,,,H-4.jpg,,,,,,,,,,,,,,,,,,,,,,H-4,1,0.71,C,,,,,,,,,,,,,,,
H-5,Double Swivel Bulldog Clip,117,Lanyards,Lanyards,Lanyard Attachments,Please reference lanyard for compatability. Available in 3-5 day production.,,,H-5.jpg,,,,,,,,,,,,,,,,,,,,,,H-5,1,0.71,C,,,,,,,,,,,,,,,
BA-P,Safety Plastic Breakaway,117,Lanyards,Lanyards,Lanyard Attachments,Safety plastic breakaway feature can be added to any standard lanyard.,,"Option A: located at the back of the neck, Option B: located on the side of the strap.",BA-P.jpg,,Black,,,,,,,,,,,,,,,,,,,,BA-P,1,0.45,C,,,,,,,,,,,,,,,
BB-3,Factory Direct Black Swivel J-Hook,117,Lanyards,Lanyards,Lanyard Attachments,Available on select factory direct lanyards. Please reference lanyard for compatability.,,,BB-3.jpg,,Black,,,,,,,,,,,,,,,,,,,,BB-3,1,0.1,C,,,,,,,,,,,,,,,
BB-1,Factory Direct Black Bulldog Clip,117,Lanyards,Lanyards,Lanyard Attachments,Available on select factory direct lanyards. Please reference lanyard for compatability.,,,BB-1.jpg,,Black,,,,,,,,,,,,,,,,,,,,BB-1,1,0.1,C,,,,,,,,,,,,,,,
P-1,Sport Cord Rubber O-Ring,117,Lanyards,Lanyards,Lanyard Attachments,Available on sport cord lanyards only.,,,P-1.jpg,,Black,,,,,,,,,,,,,,,,,,,,P-1,1,0.04,C,,,,,,,,,,,,,,,
P-2,Sport Cord Split Key Ring,117,Lanyards,Lanyards,Lanyard Attachments,Available on sport cord lanyards only.,,,P-2.jpg,,,,,,,,,,,,,,,,,,,,,,P-2,1,0.1,C,,,,,,,,,,,,,,,
P-3,Sport Cord Metal J-Hook,117,Lanyards,Lanyards,Lanyard Attachments,Available on sport cord lanyards only.,,,P-3.jpg,,,,,,,,,,,,,,,,,,,,,,P-3,1,0.1,C,,,,,,,,,,,,,,,
P-4,Sport Cord Plastic J-Hook,117,Lanyards,Lanyards,Lanyard Attachments,Available on sport cord lanyards only.,,,P-4.jpg,,Black,,,,,,,,,,,,,,,,,,,,P-4,1,0.1,C,,,,,,,,,,,,,,,
Q-1,Sport Cord Bulldog Extender,117,Lanyards,Lanyards,Lanyard Attachments,Available on sport cord lanyards only.,,,Q-1.jpg,,,,,,,,,,,,,,,,,,,,,,Q-1,1,0.25,C,,,,,,,,,,,,,,,
R-1,Sport Cord Plastic Bulldog Extender,117,Lanyards,Lanyards,Lanyard Attachments,Available on sport cord lanyards only.,,,R-1.jpg,,Black,,,,,,,,,,,,,,,,,,,,R-1,100,0.29,C,250,0.26,C,500,0.25,C,1000,0.25,C,,,,,,
S-1,Sport Cord Plastic Snap Buckle,117,Lanyards,Lanyards,Lanyard Attachments,Available on sport cord lanyards only.,,,S-1.jpg,,Black,,,,,,,,,,,,,,,,,,,,S-1,100,0.75,C,250,0.67,C,500,0.59,C,1000,0.57,C,,,,,,
T-1,Sport Cord Plastic Snap Buckle with Split Key Ring,117,Lanyards,Lanyards,Lanyard Attachments,Available on sport cord lanyards only.,,,T-1.jpg,,Black,,,,,,,,,,,,,,,,,,,,T-1,100,0.75,C,250,0.67,C,500,0.59,C,1000,0.57,C,,,,,,
SC-BA-P,Sport Cord Optional Safety Plastic Breakaway,117,Lanyards,Lanyards,Lanyard Attachments,Available on sport cord lanyards only. Optional sport cord plastic breakaway feature for safety can be added to any sport cord lanyard and replaces the standard breakaway (item# SC-BA).,,,SC-BA-P.jpg,,Black,,,,,,,,,,,,,,,,,,,,SC-BA-P,1,0.45,C,,,,,,,,,,,,,,,
SC-BA,Sport Cord Standard Safety Breakaway,117,Lanyards,Lanyards,Lanyard Attachments,Available on sport cord lanyards only. Standard sport cord breakaway feature for safety is included in the price for all sport cord lanyards.,,,SC-BA.jpg,,Black,,,,,,,,,,,,,,,,,,,,SC-BA,1,0,C,,,,,,,,,,,,,,,
B1-Loop,Bulldog Clip with Loop,117,Lanyards,Lanyards,Lanyard Attachments,"Designed for lanyards 5/8"" wide or larger. Please reference lanyard for compatability.",,,B1-loop.jpg,,,,,,,,,,,,,,,,,,,,,,B1-Loop,1,0.1,C,,,,,,,,,,,,,,,
B1-9,Swivel Bulldog Clip,117,Lanyards,Lanyards,Lanyard Attachments,Please reference lanyard for compatability.,,,B1-9.jpg,,,,,,,,,,,,,,,,,,,,,,B1-9,1,0.15,C,,,,,,,,,,,,,,,
110,Mini Pocket Book Magnifier with Case,113,Magnifiers,Magnifiers,Magnifiers,"Case is Made in USA. Fresnel lenses feature 3x magnification and work best when held by hand 2"" to 3"" from subject. Rides free in most mailings.",48867 | Owosso | MI,,110.jpg,"Case: 2 3/8"" W x 3 3/8"" H, Lens: 2"" W x 3 1/4"" H",Vinyl Case Color: White.,"Price includes a one color, one position imprint on the case. An imprint on the lens only is considered a second position imprint. Add $.25 (G) each for the imprint on the lens and reinserting labor plus set-up charge.",Silkscreen,,250 pieces = 5 lbs.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"Case: 1 3/4"" W x 2 1/4"" H, Lens: 1 3/4"" W x 1/2"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,5,10,6,6,250,Standard,250,0.87,C,500,0.77,C,1000,0.69,C,2500,0.66,C,,,,,,
171,Pocket Book Sheet Magnifier with Case,113,Magnifiers,Magnifiers,Magnifiers,"Fresnel lenses feature 3x magnification and work best when held by hand 2"" to 3"" from subject.",48867 | Owosso | MI,,171.jpg,"5 1/2"" W x 4"" H",Vinyl Case Colors - Navy blue or white.,"Price includes a one color, one position imprint on the case. An imprint on the lens only is considered a second position imprint. Add $.25 (G) each for the imprint on the lens and reinserting labor plus set-up charge.",Silkscreen,,250 pieces = 13 lbs.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"4"" W x 3 1/2"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,13,12,8,6,250,Standard,250,1.08,C,500,1.02,C,1000,0.98,C,2500,0.96,C,,,,,,
10,House Magnifier with Case,113,Magnifiers,Magnifiers,Magnifiers,"Fresnel lenses feature 3x magnification and work best when held by hand 2"" to 3"" from subject.",48867 | Owosso | MI,,10.jpg,"4 1/16"" W x 3 5/8"" H",Vinyl Case Color - White.,"Price includes a one color, one position imprint on the case. An imprint on the lens only is considered a second position imprint. Add $.25 (G) each for the imprint on the lens and reinserting labor plus set-up charge. *For optional imprinted stock border, please contact factory.",Silkscreen,,250 pieces = 6 lbs.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"2 1/2"" W x 2 1/4"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,6,10,8,6,250,Standard,250,0.95,C,500,0.93,C,1000,0.92,C,2500,0.81,C,,,,,,
1465,Business Card Magnifier,113,Magnifiers,Magnifiers,Magnifiers,"Fresnel lenses feature 3x magnification and work best when held by hand 2"" to 3"" from subject. Rides free in most mailings.",48867 | Owosso | MI,,1465.jpg,"Business Card: 3 1/2"" W x 2 1/16"" H, Overall: 2 5/8"" W x 7 1/2"" H","White border with blue 5"" standard ruler and 13 mm metric ruler.","Price includes a one color, one position imprint. 4-Color Process Printing: Price includes a 4-Color process imprint.",Four Color Process,,250 pieces = 7 lbs.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"3 1/4"" W x 1 3/4"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,7,10,8,6,250,Standard,250,1.02,C,500,0.98,C,1000,0.94,C,2500,0.89,C,,,,,,
1470,Bookmarker Magnifier with Clip and Ruler,113,Magnifiers,Magnifiers,Magnifiers,"Features colored border with 5"" standard and 13 mm metric ruler. Fresnel lenses feature 3x magnification and work best when held by hand 2&rdquo; to 3&rdquo; from subject.",48867 | Owosso | MI,,1470.jpg,"2 1/2"" W x 7 3/8"" H",White with blue ruler.,"Price includes a one color, one position imprint. 4-Color Process Printing: Price includes a 4-Color process imprint.",Four Color Process,,250 pieces = 7 lbs.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"2 1/4"" W x 1 3/4"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,7,10,8,6,250,Standard,250,0.91,C,500,0.89,C,1000,0.87,C,2500,0.84,C,,,,,,
191,Credit Card Magnifier with Business Card Carrier Case,113,Magnifiers,Magnifiers,Magnifiers,"Case is Made in USA. Fresnel lenses feature 3x magnification and work best when held by hand 2"" to 3"" from subject. Rides free in most mailings.",48867 | Owosso | MI,,191.jpg,"Case: 3 3/4"" W x 2 3/8"" H, Lens: 3 1/4"" W x 2"" H",Transparent front with white back.,"Price includes a one color, one position imprint. The first position imprint is on the case. An imprint on the lens only is considered a second position imprint. Add $.25 (G) each for the imprint on the lens and reinserting labor plus set-up charge.",Silkscreen,,250 pieces = 5 lbs.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"Case: 3"" W x 1 3/4"" H, Lens: 3"" W x 1/8"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,5,10,8,6,250,Standard,250,0.66,C,500,0.65,C,1000,0.63,C,2500,0.59,C,,,,,,
101,Bookmark Sheet Magnifier with Case,113,Magnifiers,Magnifiers,Magnifiers,"Features embossed inch and metric ruler and vinyl case. Magnifier does not come out of case. Fresnel lenses feature 3x magnification and work best when held by hand 2"" to 3"" from subject. Rides free in most mailings.",48867 | Owosso | MI,,101.jpg,"4"" W x 1 3/4"" H","Vinyl Case Colors - White, medium blue or black.","Price includes a one color, one position imprint.",Silkscreen,,250 pieces = 4 lbs.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"2 3/4"" W x 1 3/8"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,4,7,6,6,250,Standard,250,0.79,C,500,0.75,C,1000,0.73,C,2500,0.71,C,,,,,,
110L,Magnifier Lens without Case,113,Magnifiers,Magnifiers,Magnifiers,"Fresnel lenses feature 3x magnification and work best when held by hand 2"" to 3"" from subject. Rides free in most mailings.",48867 | Owosso | MI,,110L.jpg,"2"" W x 3 1/4"" H",Clear.,"Price includes a one color, one position imprint.",Silkscreen,,250 pieces = 2 lbs.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"1 3/4"" W x 1/2"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,2,6,6,6,250,Standard,250,0.51,C,500,0.48,C,1000,0.46,C,2500,0.44,C,,,,,,
1466,Pocket Book Sheet Magnifier Available with or without Tassel,113,Magnifiers,Magnifiers,Magnifiers,"Features colored border with 6"" standard and 15mm metric ruler. Fresnel lenses feature 3x magnification and work best when held by hand 2"" to 3"" from subject.",48867 | Owosso | MI,,1466.jpg,"2 15/16"" W x 7 5/8"" H",Without Tassel: Blue with white ruler. With Tassel: White border with blue tassel and blue ruler. Please specify,"Price includes a one color, one position imprint.",Silkscreen,,250 pieces = 9 lbs.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"With tassel: 2 1/4"" W x 5/8"" H, Without tassel: 2 1/4"" W x 7/8"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,9,10,6,6,250,Standard,250,1.04,C,500,0.99,C,1000,0.94,C,2500,0.84,C,,,,,,
1468,Pocket Book Sheet Magnifier Available With Or Without Tassel,113,Magnifiers,Magnifiers,Magnifiers,"Features clear border with blue 6"" standard ruler. Also available with printed custom rulers, scales and different sized imprint areas. Please consult factory for quotation. Fresnel lenses feature 3x magnification and work best when held by hand 2"" to 3"" from subject.",48867 | Owosso | MI,,1468.jpg,"2 5/8"" W x 7 3/8"" H","Without Tassel: Clear with blue ruler. With Tassel: Clear with blue, green, red or white tassel and blue ruler. Please specify.","Price includes a one color, one position imprint.",Silkscreen,,250 pieces = 6 lbs.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"With tassel: 2 1/4"" W x 5/8"" H, Without tassel: 2 1/4"" W x 7/8"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,6,10,6,6,250,Standard,250,1.04,C,500,1.01,C,1000,0.92,C,2500,0.81,C,,,,,,
1469,Bookmarker Magnifier with Clip and Ruler,113,Magnifiers,Magnifiers,Magnifiers,"Features clear border with blue 4"" standard ruler and 10 mm metric ruler. Fresnel lenses feature 3x magnification and work best when held by hand 2"" to 3"" from subject .",48867 | Owosso | MI,,1469.jpg,"2 9/16"" W x 7 3/8"" H",Clear with blue ruler.,"Price includes a one color, one position imprint.",Silkscreen,,250 pieces = 6 lbs.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"2 1/8"" W x 2"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,6,14,12,3,250,Standard,250,1.21,C,500,1.14,C,1000,0.97,C,2500,0.86,C,,,,,,
181L,Magnifier Lens without Case,113,Magnifiers,Magnifiers,Magnifiers,"Fresnel lenses feature 3x magnification and work best when held by hand 2"" to 3"" from subject. Rides free in most mailings.",48867 | Owosso | MI,,181L.jpg,"3 1/4"" W x 2"" H",Clear.,"Price includes a one color, one position imprint.",Silkscreen,,250 pieces = 2 lbs.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"3"" W x 1/8"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,2,7,6,6,250,Standard,250,0.48,C,500,0.45,C,1000,0.43,C,2500,0.42,C,,,,,,
181LB,Magnifier Lens with Color Border without Case,113,Magnifiers,Magnifiers,Magnifiers,"Fresnel lenses feature 3x magnification and work best when held by hand 2"" to 3"" from subject. Rides free in most mailings.",48867 | Owosso | MI,,181LB.jpg,"3 3/8"" W x 2 1/8"" H","Clear with blue, green, red or white border.","Price includes a one color, one position imprint.",Silkscreen,,250 pieces = 2 lbs.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"2 5/8"" W x 3/4"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,2,6,6,6,250,Standard,250,0.75,C,500,0.72,C,1000,0.69,C,2500,0.66,C,,,,,,
302,Mini Pocket Bookmark Magnifier with Tassel and Ruler,113,Magnifiers,Magnifiers,Magnifiers,"Features clear border with embossed inch and metric ruler. Also available with printed custom rulers or scales. Please consult factory for quotation. Fresnel lenses feature 3x magnification and work best when held by hand 2"" to 3"" from subject.",48867 | Owosso | MI,,302.jpg,"1 1/2"" W x 5 3/8"" H",Magnifier: Clear. Tassle Color: White (Available at no additional charge),"Price includes a one color, one position imprint.",Silkscreen,,250 pieces = 3 lbs.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"1 1/8"" W x 1 1/8"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,3,6,6,6,250,Standard,250,0.9,C,500,0.86,C,1000,0.76,C,2500,0.74,C,,,,,,
306,Cover Sheet Magnifier,113,Magnifiers,Magnifiers,Magnifiers,"Fresnel lenses feature 3x magnification and work best when held by hand 2"" to 3"" from subject.",48867 | Owosso | MI,,306.jpg,"7 1/2"" W x 11 3/4"" H",Vinyl Border - Black or navy blue.,"Price includes a one color, one position imprint.",Silkscreen,,100 pieces = 11 lbs.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"3"" W x 1/2"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,11,12,8,7,100,Standard,100,3.62,C,250,3.12,C,500,2.75,C,1000,2.66,C,,,,,,
7504,Cube Magnifier,113,Magnifiers,Magnifiers,Magnifiers,Features an adjustable focusing ring for magnification up to 8x.,48867 | Owosso | MI,,7504.jpg,"1 1/2"" W x 1 3/4"" H x 1 1/2"" D",Gray with clear base.,"Price includes a one color, one position imprint.",Silkscreen,,50 pieces = 6 lbs.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"Gray Area: 1"" W x 1/2"" H, Clear Base: 1"" W x 3/4"" H",Individually boxed,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,6,12,8,8,50,Standard,150,2.82,C,250,2.66,C,500,2.53,C,1000,2.41,C,,,,,,
7515,The Detective Magnifier,113,Magnifiers,Magnifiers,Magnifiers,"Fresnel lenses feature 3x magnification and work best when held by hand 2"" to 3"" from subject.",48867 | Owosso | MI,,7515.jpg,"2 3/4"" W x 5 1/2"" H",Blue or white.,"Price includes a one color, one position imprint.",Silkscreen,,250 pieces = 4 lbs.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"2"" W x 3/4"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,4,10,6,6,250,Standard,250,1.24,C,500,1.14,C,1000,1.04,C,2500,0.97,C,,,,,,
7520,The Professional Magnifier,113,Magnifiers,Magnifiers,Magnifiers,Features 5x and 8x magnification.,48867 | Owosso | MI,,7520.jpg,"5 1/4"" W x 2 1/4"" H x 3/4"" D",Black or blue.,"Price includes a one color, one position imprint.",Silkscreen,,250 pieces = 25 lbs.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"1 1/2"" W x 3/8"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,25,21,12,19,250,Standard,250,1.59,C,500,1.49,C,1000,1.39,C,2500,1.33,C,,,,,,
7525,Clear Handle Magnifier,113,Magnifiers,Magnifiers,Magnifiers,Features 5x and 8x magnification.,48867 | Owosso | MI,,7525.jpg,"4 1/2"" W x 2 1/8"" H x 3/8"" D",Clear.,"Price includes a one color, one position imprint.",Silkscreen,,250 pieces = 14 lbs.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"1 1/4"" W x 1/2"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,14,10,8,6,250,Standard,250,1.33,C,500,1.23,C,1000,1.12,C,2500,1.02,C,,,,,,
7536,Eyeglass Repair Kit,113,Magnifiers,Magnifiers,Magnifiers,"Features precision screwdriver, 6 screw, 2 nose pads and 2 grommets.",48867 | Owosso | MI,,7536.jpg,"3 1/2"" L x 1/2"" D",Clear tube with red plug.,"Price includes a one color, one position imprint.",Silkscreen,,250 pieces = 8 lbs.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"2"" L x 3/16"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,8,10,8,6,250,Standard,250,1.49,C,500,1.39,C,1000,1.29,C,2500,1.24,C,,,,,,
7540,Ruler/Magnifier Bar,113,Magnifiers,Magnifiers,Magnifiers,"Features 6"" ruler with magnifier bar.",48867 | Owosso | MI,,7540.jpg,"6 1/4"" W x 1 3/4"" H x 1/4"" D",Blue or clear.,"Price includes a one color, one position imprint.",Silkscreen,,250 pieces = 15 lbs.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"3"" W x 1/2"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,15,12,10,10,250,Standard,250,0.94,C,500,0.89,C,1000,0.84,C,2500,0.79,C,,,,,,
7550,Pocket Magnifier,113,Magnifiers,Magnifiers,Magnifiers,Features pull out lens with 3x and 5x magnification.,48867 | Owosso | MI,,7550.jpg,"1 3/4"" W x 1 3/4"" H x 3/8"" D",Black.,"Price includes a one color, one position imprint.",Silkscreen,,150 pieces = 11 lbs.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"1 1/2"" W x 1 1/2"" H",Individually Gift Boxed,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,11,12,10,10,150,Standard,150,2.56,C,250,2.46,C,500,2.36,C,1000,2.16,C,,,,,,
